asset_id,asset_type,file_name,question_text,answer,question_number,round_number,prompt_hint
opening_title,title_card,opening_title.png,"Can You Name These Iconic American TV Shows?",,,,
round_01,title_card,round_01_classic_hits.png,"ROUND 1: CLASSIC HITS",,,,
q01,question_scene,scene_q01_friends.png,"6 friends share an apartment in New York City and hang out at a coffee shop called Central Perk","Friends",1,1,"Central Perk coffee shop New York cozy cafe orange couch 1990s sitcom set"
q02,question_scene,scene_q02_seinfeld.png,"A comedian and his quirky friends navigate everyday life in New York City","Seinfeld",2,1,"New York City apartment building 1990s sitcom urban street diner exterior"
q03,question_scene,scene_q03_the_office.png,"A mockumentary set in a paper company in Scranton Pennsylvania","The Office",3,1,"suburban office building Scranton Pennsylvania parking lot overcast day mundane workplace"
q04,question_scene,scene_q04_breaking_bad.png,"A chemistry teacher turns to cooking meth after a terminal cancer diagnosis","Breaking Bad",4,1,"New Mexico Albuquerque desert landscape RV in desert, yellow hazmat chemistry lab"
q05,question_scene,scene_q05_game_of_thrones.png,"Noble families fight for control of the Iron Throne in a medieval fantasy world","Game of Thrones",5,1,"medieval castle stone walls dragon fire epic fantasy kingdom dramatic sky"
q06,question_scene,scene_q06_the_simpsons.png,"An animated yellow family lives in the fictional town of Springfield","The Simpsons",6,1,"cartoon suburban American house yellow exterior nuclear power plant Springfield generic town"
q07,question_scene,scene_q07_greys_anatomy.png,"Surgical interns and residents navigate life at Seattle Grace Hospital","Grey's Anatomy",7,1,"Seattle hospital exterior rainy Pacific Northwest medical drama modern building"
q08,question_scene,scene_q08_survivor.png,"Contestants are stranded in remote locations competing in challenges to avoid elimination","Survivor",8,1,"tropical island beach remote exotic location tribal council fire torches reality TV"
q09,question_scene,scene_q09_the_sopranos.png,"A New Jersey mob boss balances family life with running a criminal empire","The Sopranos",9,1,"New Jersey suburban house mob boss mansion expensive cars driveway American dream"
q10,question_scene,scene_q10_lost.png,"Survivors of a plane crash are stranded on a mysterious tropical island","Lost",10,1,"tropical jungle island mysterious crashed airplane wreckage beach survivors dramatic"
round_02,title_card,round_02_modern_classics.png,"ROUND 2: MODERN CLASSICS",,,,
q11,question_scene,scene_q11_stranger_things.png,"Kids in 1980s Indiana encounter supernatural forces from another dimension","Stranger Things",11,2,"1980s small town Indiana bike riding kids supernatural lights flickering dark woods"
q12,question_scene,scene_q12_the_mandalorian.png,"A lone bounty hunter travels the galaxy protecting a mysterious alien child","The Mandalorian",12,2,"desert planet spaceship lone warrior carrying small alien child science fiction western"
q13,question_scene,scene_q13_succession.png,"The wealthy Roy family battles over control of their global media empire","Succession",13,2,"luxury penthouse Manhattan skyline wealthy family corporate boardroom power drama"
q14,question_scene,scene_q14_the_crown.png,"The story of the British Royal Family from the 1940s to modern day","The Crown",14,3,"Buckingham Palace London exterior British royalty ceremonial guards formal grandeur"
q15,question_scene,scene_q15_yellowstone.png,"A Montana ranching family fights to keep their land from developers and enemies","Yellowstone",15,2,"Montana mountain ranch landscape cowboys horses Big Sky Country dramatic western"
q16,question_scene,scene_q16_ted_lasso.png,"An American football coach is hired to manage an English soccer team","Ted Lasso",16,2,"English soccer football stadium green pitch English countryside pub charming village"
q17,question_scene,scene_q17_squid_game.png,"456 contestants in debt play deadly childhood games for a huge cash prize","Squid Game",17,2,"colorful playground geometric shapes red guards dystopian Korean game show dramatic"
q18,question_scene,scene_q18_white_lotus.png,"Guests and staff at a luxury Hawaiian resort unravel in surprising ways","The White Lotus",18,2,"luxury Hawaiian resort pool ocean tropical paradise wealthy guests tension"
q19,question_scene,scene_q19_ozark.png,"A financial advisor launders money for a Mexican drug cartel in the Missouri Ozarks","Ozark",19,2,"dark lake Missouri Ozarks night moody lakeside cabin money laundering tension"
q20,question_scene,scene_q20_house_of_cards.png,"An ambitious congressman manipulates his way to become President of the USA","House of Cards",20,2,"US Capitol Washington DC political drama power ambition Washington monument"
round_03,title_card,round_03_golden_age.png,"ROUND 3: GOLDEN AGE TV",,,,
q21,question_scene,scene_q21_mash.png,"Army doctors use humor to cope with the horrors of the Korean War","M*A*S*H",21,3,"Korean War military camp army tents helicopters 1950s Korea medical military comedy"
q22,question_scene,scene_q22_cheers.png,"Regular patrons drink and socialize at a Boston bar where everybody knows your name","Cheers",22,3,"Boston bar pub interior dark wood stools classic American tavern 1980s"
q23,question_scene,scene_q23_dallas.png,"The Ewing family feuds over oil wealth and power in Texas","Dallas",23,3,"Texas oil ranch mansion luxury 1980s cowboy hat oil derrick wealthy family"
q24,question_scene,scene_q24_baywatch.png,"Lifeguards patrol the beaches of Los Angeles protecting swimmers","Baywatch",24,3,"Los Angeles beach lifeguard tower red swimsuit California sunshine surfing ocean"
q25,question_scene,scene_q25_x_files.png,"Two FBI agents investigate unexplained paranormal cases and government conspiracies","The X-Files",25,3,"dark forest flashlight beam mysterious UFO government conspiracy paranormal fog night"
q26,question_scene,scene_q26_er.png,"Doctors and nurses handle life and death emergencies in a Chicago hospital ER","ER",26,3,"Chicago emergency room hospital trauma center ambulance arrival urgent medical drama"
q27,question_scene,scene_q27_twin_peaks.png,"An FBI agent investigates the murder of a homecoming queen in a quirky Pacific Northwest town","Twin Peaks",27,3,"Pacific Northwest logging town diner cherry pie coffee foggy mountains mysterious"
