asset_id,asset_type,file_name,round,question_number,question_text,answer,main_visual_clue,image_prompt,video_prompt
opening_title,title_card,opening_quiz10.png,Opening,,Guess the Sport by Emoji! ⚽🏀🎾,,quiz show stage,"Create an original 16:9 quiz-show title card for a sports emoji quiz. Sports balls and equipment arranged dramatically. Text: GUESS THE SPORT! Energetic sports colors, stadium atmosphere, no copied branding.",Animate dramatic title reveal.
round_01_easy,title_card,round_01_easy.png,ROUND 1: EASY SPORTS,,ROUND 1: EASY SPORTS,,ROUND 1: EASY SPORTS,"Create an original 16:9 bright 2D quiz-show round card reading ROUND 1: EASY SPORTS. Bold clean typography, original design.",Animate ROUND 1: EASY SPORTS card.
q01,question_scene,scene_q10_01_soccer.png,ROUND 1: EASY SPORTS,01,What sport is this? ⚽🥅🌍,Soccer / Football,Ball goal net grass,"Create original 16:9 quiz graphic. Large bold emojis: soccer ball, goal net, globe (⚽🥅🌍) on green field background. Question: What sport is this? Answer: Soccer / Football. Bold readable text.","Animate question reveal, 3-second pause, answer card reading Soccer / Football."
q02,question_scene,scene_q10_02_basketball.png,ROUND 1: EASY SPORTS,02,What sport is this? 🏀🏟️🏆,Basketball,Orange ball court trophy,"Create original 16:9 quiz graphic. Large emojis: basketball, stadium, trophy (🏀🏟️🏆). Question: What sport? Answer: Basketball.","Animate question reveal, 3-second pause, answer card reading Basketball."
q03,question_scene,scene_q10_03_baseball.png,ROUND 1: EASY SPORTS,03,What sport is this? ⚾🧤🏟️,Baseball,Ball glove stadium,"Create original 16:9 quiz graphic. Large emojis: baseball, glove, stadium (⚾🧤🏟️). Question: What sport? Answer: Baseball.","Animate question reveal, 3-second pause, answer card reading Baseball."
q04,question_scene,scene_q10_04_tennis.png,ROUND 1: EASY SPORTS,04,What sport is this? 🎾🏓🏆,Tennis,Racket ball trophy,"Create original 16:9 quiz graphic. Large emojis: tennis ball, table tennis (used for court hint), trophy (🎾🏓🏆). Question: What sport? Answer: Tennis.","Animate question reveal, 3-second pause, answer card reading Tennis."
q05,question_scene,scene_q10_05_swimming.png,ROUND 1: EASY SPORTS,05,What sport is this? 🏊🌊🥇,Swimming,Swimmer waves gold medal,"Create original 16:9 quiz graphic. Large emojis: swimmer, waves, gold medal (🏊🌊🥇). Question: What sport? Answer: Swimming.","Animate question reveal, 3-second pause, answer card reading Swimming."
q06,question_scene,scene_q10_06_golf.png,ROUND 1: EASY SPORTS,06,What sport is this? ⛳🏌️🌿,Golf,Hole flag golfer grass,"Create original 16:9 quiz graphic. Large emojis: golf hole flag, golfer, herb (⛳🏌️🌿). Question: What sport? Answer: Golf.","Animate question reveal, 3-second pause, answer card reading Golf."
q07,question_scene,scene_q10_07_boxing.png,ROUND 1: EASY SPORTS,07,What sport is this? 🥊🩸💪,Boxing,Gloves blood muscles,"Create original 16:9 quiz graphic. Large emojis: boxing gloves, drop (sweat/blood), flexed arm (🥊🩸💪). Question: What sport? Answer: Boxing.","Animate question reveal, 3-second pause, answer card reading Boxing."
q08,question_scene,scene_q10_08_skiing.png,ROUND 1: EASY SPORTS,08,What sport is this? ⛷️🏔️❄️,Skiing,Skier mountain snowflake,"Create original 16:9 quiz graphic. Large emojis: skier, mountain, snowflake (⛷️🏔️❄️). Question: What sport? Answer: Skiing.","Animate question reveal, 3-second pause, answer card reading Skiing."
q09,question_scene,scene_q10_09_cycling.png,ROUND 1: EASY SPORTS,09,What sport is this? 🚴🏆🌄,Cycling,Cyclist trophy mountain,"Create original 16:9 quiz graphic. Large emojis: cyclist, trophy, sunrise (🚴🏆🌄). Question: What sport? Answer: Cycling.","Animate question reveal, 3-second pause, answer card reading Cycling."
q10,question_scene,scene_q10_10_gymnastics.png,ROUND 1: EASY SPORTS,10,What sport is this? 🤸🎀🏅,Gymnastics,Cartwheel ribbon medal,"Create original 16:9 quiz graphic. Large emojis: cartwheel, ribbon, sports medal (🤸🎀🏅). Question: What sport? Answer: Gymnastics.","Animate question reveal, 3-second pause, answer card reading Gymnastics."
round_02_medium,title_card,round_02_medium.png,ROUND 2: MEDIUM SPORTS,,ROUND 2: MEDIUM SPORTS,,ROUND 2: MEDIUM SPORTS,"Create an original 16:9 bright 2D quiz-show round card reading ROUND 2: MEDIUM SPORTS. Bold clean typography, original design.",Animate ROUND 2: MEDIUM SPORTS card.
q11,question_scene,scene_q10_11_american_football.png,ROUND 2: MEDIUM SPORTS,11,What sport is this? 🏈🏟️🦅,American Football,Football stadium eagle,"Create original 16:9 quiz graphic. Large emojis: american football, stadium, eagle (🏈🏟️🦅). Question: What sport? Answer: American Football.","Animate question reveal, 3-second pause, answer card reading American Football."
q12,question_scene,scene_q10_12_hockey.png,ROUND 2: MEDIUM SPORTS,12,What sport is this? 🏒🥅🧊,Ice Hockey,Stick goal ice,"Create original 16:9 quiz graphic. Large emojis: hockey stick, goal, ice cube (🏒🥅🧊). Question: What sport? Answer: Ice Hockey.","Animate question reveal, 3-second pause, answer card reading Ice Hockey."
q13,question_scene,scene_q10_13_volleyball.png,ROUND 2: MEDIUM SPORTS,13,What sport is this? 🏐🏖️🌊,Volleyball / Beach Volleyball,Ball beach waves,"Create original 16:9 quiz graphic. Large emojis: volleyball, beach umbrella, waves (🏐🏖️🌊). Question: What sport? Answer: Volleyball.","Animate question reveal, 3-second pause, answer card reading Volleyball / Beach Volleyball."
q14,question_scene,scene_q10_14_rowing.png,ROUND 2: MEDIUM SPORTS,14,What sport is this? 🚣🌊🏆,Rowing,Rower waves trophy,"Create original 16:9 quiz graphic. Large emojis: rower, waves, trophy (🚣🌊🏆). Question: What sport? Answer: Rowing.","Animate question reveal, 3-second pause, answer card reading Rowing."
q15,question_scene,scene_q10_15_archery.png,ROUND 2: MEDIUM SPORTS,15,What sport is this? 🏹🎯🦅,Archery,Bow arrow target eagle,"Create original 16:9 quiz graphic. Large emojis: bow and arrow, target, eagle (🏹🎯🦅). Question: What sport? Answer: Archery.","Animate question reveal, 3-second pause, answer card reading Archery."
q16,question_scene,scene_q10_16_fencing.png,ROUND 2: MEDIUM SPORTS,16,What sport is this? 🤺⚔️🥇,Fencing,Fencer swords gold medal,"Create original 16:9 quiz graphic. Large emojis: fencer, crossed swords, gold medal (🤺⚔️🥇). Question: What sport? Answer: Fencing.","Animate question reveal, 3-second pause, answer card reading Fencing."
q17,question_scene,scene_q10_17_weightlifting.png,ROUND 2: MEDIUM SPORTS,17,What sport is this? 🏋️💪🥇,Weightlifting,Lifter muscles gold,"Create original 16:9 quiz graphic. Large emojis: weightlifter, flexed bicep, gold medal (🏋️💪🥇). Question: What sport? Answer: Weightlifting.","Animate question reveal, 3-second pause, answer card reading Weightlifting."
q18,question_scene,scene_q10_18_surfing.png,ROUND 2: MEDIUM SPORTS,18,What sport is this? 🏄🌊🌅,Surfing,Surfer waves sunset,"Create original 16:9 quiz graphic. Large emojis: surfer, large wave, sunrise (🏄🌊🌅). Question: What sport? Answer: Surfing.","Animate question reveal, 3-second pause, answer card reading Surfing."
q19,question_scene,scene_q10_19_polo.png,ROUND 2: MEDIUM SPORTS,19,What sport is this? 🐎🏑🌿,Polo,Horse mallet grass,"Create original 16:9 quiz graphic. Large emojis: horse, field hockey stick (mallet hint), herb/grass (🐎🏑🌿). Question: What sport? Answer: Polo.","Animate question reveal, 3-second pause, answer card reading Polo."
q20,question_scene,scene_q10_20_curling.png,ROUND 2: MEDIUM SPORTS,20,What sport is this? 🥌🧹🧊,Curling,Stone broom ice,"Create original 16:9 quiz graphic. Large emojis: curling stone, broom, ice (🥌🧹🧊). Question: What sport? Answer: Curling.","Animate question reveal, 3-second pause, answer card reading Curling."
outro,title_card,outro_quiz10.png,Outro,,How many did you get right?,,scoreboard,"Create an original 16:9 quiz-show outro celebration scoreboard. Confetti, festive energy, no copied branding.",Animate scoreboard confetti.
