asset_id,asset_type,file_name,round,question_number,question_text,answer,main_visual_clue,stat_pct,image_prompt
opening_title,title_card,opening_quiz18.png,Opening,,Guess the Profession by Emoji! 👔🔧,,profession emojis,,
wyr_header,title_card,wyr_header.png,WarmUp,,WARM-UP: WOULD YOU RATHER?,,,,
w01,wyr_scene,,WarmUp,1,Office or Remote Work?,,🏢|🏠,58,
w02,wyr_scene,,WarmUp,2,Morning Shift or Night Shift?,,🌅|🌙,71,
w03,wyr_scene,,WarmUp,3,Be the Boss or Be the Employee?,,👑|💼,54,
w04,wyr_scene,,WarmUp,4,9-to-5 Job or Freelance?,,⏰|🧳,62,
w05,wyr_scene,,WarmUp,5,Business Suit or Casual Clothes?,,👔|👕,79,
w06,wyr_scene,,WarmUp,6,Big Company or Startup?,,🏙️|🚀,55,
w07,wyr_scene,,WarmUp,7,High Salary or Dream Job?,,💰|❤️,52,
w08,wyr_scene,,WarmUp,8,Team Project or Solo Project?,,👥|🧍,60,
w09,wyr_scene,,WarmUp,9,Business Trip or Work From Home?,,✈️|🏠,57,
w10,wyr_scene,,WarmUp,10,Early Retirement or Dream Career?,,🏖️|🎯,65,
transition,title_card,transition.png,Transition,,Warm-up done! Now let's test your REAL profession knowledge!,,,,
round_01,title_card,round_01_easy.png,ROUND 1,,ROUND 1: EASY,,,,
q01,question_scene,scene_q01.png,1,1,What profession is this?,Doctor,🩺💉,,
q02,question_scene,scene_q02.png,1,2,What profession is this?,Teacher,📚🍎,,
q03,question_scene,scene_q03.png,1,3,What profession is this?,Chef,🧑‍🍳🍳,,
q04,question_scene,scene_q04.png,1,4,What profession is this?,Police Officer,👮🚔,,
q05,question_scene,scene_q05.png,1,5,What profession is this?,Firefighter,🧑‍🚒🔥,,
q06,question_scene,scene_q06.png,1,6,What profession is this?,Pilot,✈️🧑‍✈️,,
q07,question_scene,scene_q07.png,1,7,What profession is this?,Farmer,🚜🌾,,
q08,question_scene,scene_q08.png,1,8,What profession is this?,Lawyer,⚖️📋,,
q09,question_scene,scene_q09.png,1,9,What profession is this?,Dentist,🦷🪥,,
q10,question_scene,scene_q10.png,1,10,What profession is this?,Artist,🎨🖌️,,
round_02,title_card,round_02_medium.png,ROUND 2,,ROUND 2: GETTING HARDER,,,,
q11,question_scene,scene_q11.png,2,11,What profession is this?,Musician,🎸🎵,,
q12,question_scene,scene_q12.png,2,12,What profession is this?,Photographer,📷📸,,
q13,question_scene,scene_q13.png,2,13,What profession is this?,Architect,📐🏗️,,
q14,question_scene,scene_q14.png,2,14,What profession is this?,Scientist,🔬🧪,,
q15,question_scene,scene_q15.png,2,15,What profession is this?,Astronaut,🚀🧑‍🚀,,
q16,question_scene,scene_q16.png,2,16,What profession is this?,Electrician,⚡🔧,,
q17,question_scene,scene_q17.png,2,17,What profession is this?,Plumber,🔧🚰,,
q18,question_scene,scene_q18.png,2,18,What profession is this?,Hairdresser,✂️💇,,
q19,question_scene,scene_q19.png,2,19,What profession is this?,Veterinarian,🐾🩺,,
q20,question_scene,scene_q20.png,2,20,What profession is this?,Accountant,🧮💰,,
round_03,title_card,round_03_expert.png,ROUND 3,,ROUND 3: EXPERT LEVEL,,,,
q21,question_scene,scene_q21.png,3,21,What profession is this?,Journalist,📰🎤,,
q22,question_scene,scene_q22.png,3,22,What profession is this?,Actor,🎭🎬,,
q23,question_scene,scene_q23.png,3,23,What profession is this?,Athlete,🏃🏆,,
q24,question_scene,scene_q24.png,3,24,What profession is this?,Judge,⚖️🔨,,
q25,question_scene,scene_q25.png,3,25,What profession is this?,Mechanic,🔧🚗,,
q26,question_scene,scene_q26.png,3,26,What profession is this?,Baker,🍞🥖,,
q27,question_scene,scene_q27.png,3,27,What profession is this?,Barista,☕🥛,,
q28,question_scene,scene_q28.png,3,28,What profession is this?,Nurse,🩹👩‍⚕️,,
q29,question_scene,scene_q29.png,3,29,What profession is this?,Engineer,⚙️📐,,
q30,question_scene,scene_q30.png,3,30,What profession is this?,Software Developer,💻⌨️,,
round_04,title_card,round_04_final.png,ROUND 4,,ROUND 4: FINAL CHALLENGE,,,,
q31,question_scene,scene_q31.png,4,31,What profession is this?,Librarian,📚🔖,,
q32,question_scene,scene_q32.png,4,32,What profession is this?,Fisherman,🎣🐟,,
q33,question_scene,scene_q33.png,4,33,What profession is this?,Tailor,🧵✂️,,
q34,question_scene,scene_q34.png,4,34,What profession is this?,Postal Worker,📮✉️,,
q35,question_scene,scene_q35.png,4,35,What profession is this?,Construction Worker,🏗️👷,,
outro,outro,outro_quiz18.png,Outro,,How many did you get right?,,,,
end_screen,outro,end_screen_quiz18.png,End,,Subscribe for more Quizzes!,,,,
